grouping,group_name,comparison,metric,count,mean,std,seed
complexity,low_30pct,2d_boundary_vs_nonboundary,dice,30,-0.011840918264308227,0.03976201797586022,1
complexity,low_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.04031210884998441,0.034716099179792334,1
complexity,low_30pct,2d_boundary_vs_nonboundary,fpr,30,0.26119787267082756,0.13077066705348772,1
complexity,low_30pct,2d_boundary_vs_nonboundary,hd95,30,0.41675705115000405,1.7079368787834324,1
complexity,mid_40pct,25d_boundary_vs_2d_boundary,dice,40,0.010804588731340561,0.029514220715172255,1
complexity,mid_40pct,25d_boundary_vs_2d_boundary,fnr,40,0.0019992475828463467,0.028649895655791707,1
complexity,mid_40pct,25d_boundary_vs_2d_boundary,fpr,40,-0.1791667899335642,0.11638596300340902,1
complexity,mid_40pct,25d_boundary_vs_2d_boundary,hd95,40,0.7840847283601761,10.141155018136116,1
complexity,mid_40pct,25d_boundary_vs_nonboundary,dice,40,-0.009268114408837656,0.04055630787284744,1
complexity,mid_40pct,25d_boundary_vs_nonboundary,fnr,40,-0.040617889399511234,0.034349634237871025,1
complexity,mid_40pct,25d_boundary_vs_nonboundary,fpr,40,0.16747407885707263,0.11412732419168203,1
complexity,mid_40pct,25d_boundary_vs_nonboundary,hd95,40,1.7804150879383087,10.38412975226661,1
complexity,mid_40pct,25d_vs_2d_bce_dice,dice,40,0.017866549359942745,0.04839829452162834,1
complexity,mid_40pct,25d_vs_2d_bce_dice,fnr,40,-0.017082538310908647,0.03642971150784264,1
complexity,mid_40pct,25d_vs_2d_bce_dice,fpr,40,-0.009457632472580576,0.04815836883272674,1
complexity,mid_40pct,25d_vs_2d_bce_dice,hd95,40,-0.36865841448307035,0.9887462426422544,1
complexity,mid_40pct,2d_boundary_vs_nonboundary,dice,40,-0.002206153780235473,0.027765786235927195,1
complexity,mid_40pct,2d_boundary_vs_nonboundary,fnr,40,-0.05969967529326623,0.04668868247698929,1
complexity,mid_40pct,2d_boundary_vs_nonboundary,fpr,40,0.33718323631805625,0.13401190551957326,1
complexity,mid_40pct,2d_boundary_vs_nonboundary,hd95,40,0.6276719450950623,3.0761031554652187,1
complexity,high_30pct,25d_boundary_vs_2d_boundary,dice,30,0.04534905514241399,0.06163989647092061,2
complexity,high_30pct,25d_boundary_vs_2d_boundary,fnr,30,0.004588825080821359,0.06174914884986129,2
complexity,high_30pct,25d_boundary_vs_2d_boundary,fpr,30,-0.14471598982691442,0.14232386569233685,2
complexity,high_30pct,25d_boundary_vs_2d_boundary,hd95,30,-2.9716994961102805,13.159392735120797,2
complexity,high_30pct,25d_boundary_vs_nonboundary,dice,30,-0.006273069385827305,0.04023078568313178,2
complexity,high_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.11382737034701304,0.09039184241386392,2
complexity,high_30pct,25d_boundary_vs_nonboundary,fpr,30,0.3362039090797399,0.11603675847033643,2
complexity,high_30pct,25d_boundary_vs_nonboundary,hd95,30,-0.018348232905069987,6.929905655295115,2
complexity,high_30pct,25d_vs_2d_bce_dice,dice,30,0.018068112072487895,0.05367426719623226,2
complexity,high_30pct,25d_vs_2d_bce_dice,fnr,30,0.040675753099212605,0.062170526587333345,2
complexity,high_30pct,25d_vs_2d_bce_dice,fpr,30,-0.05681883953677642,0.06431261556389735,2
complexity,high_30pct,25d_vs_2d_bce_dice,hd95,30,0.2852810223897298,8.521760836570921,2
complexity,high_30pct,2d_boundary_vs_nonboundary,dice,30,-0.0335540124557534,0.06463692332478398,2
complexity,high_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.07774044232862179,0.09098599756951208,2
complexity,high_30pct,2d_boundary_vs_nonboundary,fpr,30,0.42410105936987785,0.16377210841485346,2
complexity,high_30pct,2d_boundary_vs_nonboundary,hd95,30,3.23863228559494,15.792259255820449,2
complexity,low_30pct,25d_boundary_vs_2d_boundary,dice,30,0.0039129227827097894,0.018191731997483498,2
complexity,low_30pct,25d_boundary_vs_2d_boundary,fnr,30,-0.0026353363365703123,0.010288386685316477,2
complexity,low_30pct,25d_boundary_vs_2d_boundary,fpr,30,-0.08742466741077948,0.11432657049801516,2
complexity,low_30pct,25d_boundary_vs_2d_boundary,hd95,30,-0.2629579782485962,1.6171753536842344,2
complexity,low_30pct,25d_boundary_vs_nonboundary,dice,30,-0.00181172800632566,0.02170121392476166,2
complexity,low_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.019776567182462932,0.02055188973858144,2
complexity,low_30pct,25d_boundary_vs_nonboundary,fpr,30,0.22702041425318448,0.11304084297527205,2
