model,seed,artifact_prefix,status,best_threshold,best_val_dice,test_dice,test_hd95_median,test_fnr,test_fpr,error
2d_bce_dice_posweighted_boundary_0.05,4,2d_bce_dice_posweighted_boundary_0.05_seed4,ok,0.7,0.7761547958635059,0.7787615166129854,6.538881778717041,0.03328050713153724,0.20674646354733406,
2d_bce_dice_posweighted_boundary_0.1,0,2d_bce_dice_posweighted_boundary_0.1_seed0,ok,0.55,0.7299226976551924,0.7994809267634058,6.0,0.01871657754010695,0.19326683291770574,
2d_bce_dice_posweighted_boundary_0.1,1,2d_bce_dice_posweighted_boundary_0.1_seed1,ok,0.5,0.8027884013678905,0.7199840646357644,8.135839462280273,0.02812939521800281,0.3253873659117998,
2d_bce_dice_posweighted_boundary_0.1,2,2d_bce_dice_posweighted_boundary_0.1_seed2,ok,0.7,0.7855132563978943,0.7510128702288346,5.049509525299072,0.03042328042328042,0.18261964735516373,
2d_bce_dice_posweighted_boundary_0.1,3,2d_bce_dice_posweighted_boundary_0.1_seed3,ok,0.7,0.8404844859339429,0.7962274804337645,5.746670722961426,0.05329153605015674,0.2916666666666667,
2d_bce_dice_posweighted_boundary_0.1,4,2d_bce_dice_posweighted_boundary_0.1_seed4,ok,0.7,0.7660427850921273,0.7831001298505039,5.656854152679443,0.039619651347068144,0.2840043525571273,
2d_bce_dice_posweighted_boundary_0.2,0,2d_bce_dice_posweighted_boundary_0.2_seed0,ok,0.5,0.7313368977801694,0.8179540051954156,5.099019527435303,0.009358288770053475,0.22942643391521197,
2d_bce_dice_posweighted_boundary_0.2,1,2d_bce_dice_posweighted_boundary_0.2_seed1,ok,0.5,0.8072360829389008,0.7255662965749387,7.249056816101074,0.02531645569620253,0.2836710369487485,
2d_bce_dice_posweighted_boundary_0.2,2,2d_bce_dice_posweighted_boundary_0.2_seed2,ok,0.7,0.7837908055283066,0.7664704980062587,5.8647613525390625,0.022486772486772486,0.163727959697733,
2d_bce_dice_posweighted_boundary_0.2,3,2d_bce_dice_posweighted_boundary_0.2_seed3,ok,0.5,0.8374508194482098,0.8041013231541856,6.4031243324279785,0.034482758620689655,0.3574561403508772,
2d_bce_dice_posweighted_boundary_0.2,4,2d_bce_dice_posweighted_boundary_0.2_seed4,ok,0.5,0.7699680132399581,0.7783563377515733,5.227785110473633,0.06656101426307448,0.1251360174102285,
25d_dice,0,25d_dice_seed0,ok,0.5,0.7125542021341301,0.7902498869250284,6.2761969566345215,0.04946524064171123,0.10349127182044887,
25d_dice,1,25d_dice_seed1,ok,0.5,0.7669267502742527,0.6863167390185402,8.5440034866333,0.09282700421940929,0.16686531585220502,
25d_dice,2,25d_dice_seed2,ok,0.5,0.7835616680827958,0.7438654406341138,5.207737922668457,0.051587301587301584,0.15869017632241814,
25d_dice,3,25d_dice_seed3,ok,0.7,0.8388339018768812,0.7912420574400493,7.071067810058594,0.05329153605015674,0.26644736842105265,
25d_dice,4,25d_dice_seed4,ok,0.5,0.7621800421607533,0.7536487798612393,6.082762718200684,0.08082408874801902,0.17410228509249184,
25d_bce_dice,0,25d_bce_dice_seed0,ok,0.5,0.7201948323540313,0.8213820561049456,5.830951690673828,0.017379679144385027,0.18329177057356608,
25d_bce_dice,1,25d_bce_dice_seed1,ok,0.5,0.789928506021082,0.7023450280690328,7.280109882354736,0.08860759493670886,0.12872467222884387,
